Industry;PermId;HierarchicalId;Ticker;Name;MarketCapitalization;TTM Sales$;Employees;Companies URL
Coal;4294952997;50101010;GLEN.L;Glencore PLC;58,785.672;132,723.703;154,832;https://www.reuters.com/finance/stocks/overview?symbol=GLEN.L;
Coal;4294952997;50101010;3315.T;Nippon Coke & Engineering Co Ltd;38,700.730;105,210.000;1,020;https://www.reuters.com/finance/stocks/overview?symbol=3315.T;
Coal;4294952997;50101010;1518.T;Mitsui Matsushima Co Ltd;20,380.461;60,790.000;1,288;https://www.reuters.com/finance/stocks/overview?symbol=1518.T;
Coal;4294952997;50101010;1514.T;Sumiseki Holdings Inc;10,836.290;14,613.000;57;https://www.reuters.com/finance/stocks/overview?symbol=1514.T;
Coal;4294952997;50101010;8835.T;Taiheiyo Kouhatsu Inc;8,242.672;34,210.000;860;https://www.reuters.com/finance/stocks/overview?symbol=8835.T;
Coal;4294952997;50101010;BTU.N;Peabody Energy Corp;4,040.289;5,502.500;6,700;https://www.reuters.com/finance/stocks/overview?symbol=BTU.N;
Coal;4294952997;50101010;CNX.N;CNX Resources Corp;3,288.186;2,440.235;2,307;https://www.reuters.com/finance/stocks/overview?symbol=CNX.N;
Coal;4294952997;50101010;ARCH.N;Arch Coal Inc;2,063.844;2,340.067;4,025;https://www.reuters.com/finance/stocks/overview?symbol=ARCH.N;
Coal;4294952997;50101010;CNTE.PK;Contura Energy Inc;664.951;--;2,300;https://www.reuters.com/finance/stocks/overview?symbol=CNTE.PK;
Coal;4294952997;50101010;FELP.N;Foresight Energy LP;584.657;922.848;799;https://www.reuters.com/finance/stocks/overview?symbol=FELP.N;
Coal;4294952997;50101010;CCR.N;CONSOL Coal Resources LP;427.482;328.312;--;https://www.reuters.com/finance/stocks/overview?symbol=CCR.N;
Coal;4294952997;50101010;NRP.N;Natural Resource Partners LP;412.219;359.650;63;https://www.reuters.com/finance/stocks/overview?symbol=NRP.N;
Coal;4294952997;50101010;CLD.N;Cloud Peak Energy Inc;392.992;901.741;1,300;https://www.reuters.com/finance/stocks/overview?symbol=CLD.N;
Coal;4294952997;50101010;NC.N;NACCO Industries Inc;287.540;362.559;3,600;https://www.reuters.com/finance/stocks/overview?symbol=NC.N;
Coal;4294952997;50101010;LINT.BO;Linkson International Ltd;286.178;1,463.100;--;https://www.reuters.com/finance/stocks/overview?symbol=LINT.BO;
Coal;4294952997;50101010;HASE.L;Hargreaves Services PLC;109.414;342.868;1,960;https://www.reuters.com/finance/stocks/overview?symbol=HASE.L;
Coal;4294952997;50101010;RHNO.PK;Rhino Resource Partners LP;42.831;214.853;570;https://www.reuters.com/finance/stocks/overview?symbol=RHNO.PK;
Coal;4294952997;50101010;GCM.L;GCM Resources plc;22.308;0.000;22;https://www.reuters.com/finance/stocks/overview?symbol=GCM.L;
Coal;4294952997;50101010;SGBH.PK;Grand China Energy Group Ltd;18.690;0.000;87;https://www.reuters.com/finance/stocks/overview?symbol=SGBH.PK;
Coal;4294952997;50101010;ORCP.L;Oracle Power PLC;16.921;0.000;7;https://www.reuters.com/finance/stocks/overview?symbol=ORCP.L;
Coal;4294952997;50101010;NCCL.L;Ncondezi Energy Ltd;11.442;0.000;13;https://www.reuters.com/finance/stocks/overview?symbol=NCCL.L;
Coal;4294952997;50101010;BISI.L;Bisichi Mining PLC;7.954;28.622;240;https://www.reuters.com/finance/stocks/overview?symbol=BISI.L;
Coal;4294952997;50101010;ALRE.L;Altona Energy PLC;7.795;0.000;7;https://www.reuters.com/finance/stocks/overview?symbol=ALRE.L;
Coal;4294952997;50101010;NWRR.L;New World Resources Plc;7.240;555.509;10,651;https://www.reuters.com/finance/stocks/overview?symbol=NWRR.L;
Coal;4294952997;50101010;EDLE.L;Edenville Energy PLC;6.548;0.000;8;https://www.reuters.com/finance/stocks/overview?symbol=EDLE.L;
Coal;4294952997;50101010;TRRE.PK;Terra Energy Resources Ltd;4.811;--;1;https://www.reuters.com/finance/stocks/overview?symbol=TRRE.PK;
Coal;4294952997;50101010;WMLP.N;Westmoreland Resource Partners LP;3.263;327.544;640;https://www.reuters.com/finance/stocks/overview?symbol=WMLP.N;
Coal;4294952997;50101010;COECF.PK;CanAm Coal Corp;1.486;65.554;--;https://www.reuters.com/finance/stocks/overview?symbol=COECF.PK;
Coal;4294952997;50101010;LLEN.PK;L & L Energy Inc;0.348;179.997;1,364;https://www.reuters.com/finance/stocks/overview?symbol=LLEN.PK;
