Industry;PermId;HierarchicalId;Thomson Reuters Company Ranking URL
Coal;4294952997;50101010;https://www.reuters.com/sectors/industries/rankings?industryCode=4
Integrated Oil & Gas;4294952995;50102010;https://www.reuters.com/sectors/industries/rankings?industryCode=6
Oil & Gas Exploration and Production;4294952994;50102020;https://www.reuters.com/sectors/industries/rankings?industryCode=7
Oil & Gas Refining and Marketing;4294952993;50102030;https://www.reuters.com/sectors/industries/rankings?industryCode=8
Oil & Gas Drilling;4294952991;50103010;https://www.reuters.com/sectors/industries/rankings?industryCode=10
Oil Related Services and Equipment;4294952990;50103020;https://www.reuters.com/sectors/industries/rankings?industryCode=11
Commodity Chemicals;4294952986;51101010;https://www.reuters.com/sectors/industries/rankings?industryCode=15
Agricultural Chemicals;4294952985;51101020;https://www.reuters.com/sectors/industries/rankings?industryCode=16
Specialty Chemicals;4294952984;51101030;https://www.reuters.com/sectors/industries/rankings?industryCode=17
Diversified Chemicals;4294952983;51101090;https://www.reuters.com/sectors/industries/rankings?industryCode=18
Aluminum;4294952978;51201030;https://www.reuters.com/sectors/industries/rankings?industryCode=23
Construction Materials;4294952975;51202010;https://www.reuters.com/sectors/industries/rankings?industryCode=26
Forest & Wood Products;4294952972;51301010;https://www.reuters.com/sectors/industries/rankings?industryCode=29
Paper Products;4294952971;51301020;https://www.reuters.com/sectors/industries/rankings?industryCode=30
Non-Paper Containers & Packaging;4294952969;51302010;https://www.reuters.com/sectors/industries/rankings?industryCode=32
Paper Packaging;4294952968;51302020;https://www.reuters.com/sectors/industries/rankings?industryCode=33
Industrial Machinery & Equipment;4294952962;52102010;https://www.reuters.com/sectors/industries/rankings?industryCode=39
Heavy Machinery & Vehicles;4294952961;52102020;https://www.reuters.com/sectors/industries/rankings?industryCode=40
Heavy Electrical Equipment;4294952959;52102040;https://www.reuters.com/sectors/industries/rankings?industryCode=42
Construction Supplies & Fixtures;4294952956;53203020;https://www.reuters.com/sectors/industries/rankings?industryCode=45
Commercial Printing Services;4294952950;52203020;https://www.reuters.com/sectors/industries/rankings?industryCode=51
